일자,체결시간,시가,고가,저가,종가,미결제약정수량,이론가,기초자산지수,단위거래량,단위거래대금,
20200131,1545,285.60,285.60,285.15,285.60,305457,0.00,286.37,         0,           0,
20200131,1544,285.60,285.60,285.60,285.60,305457,0.00,286.37,         0,           0,
20200131,1543,285.60,285.60,285.60,285.60,305457,0.00,286.37,         0,           0,
20200131,1542,285.60,285.60,285.60,285.60,305457,0.00,286.37,        20,     1428000,
20200131,1541,285.60,285.60,285.60,285.60,305437,0.00,286.37,         0,           0,
20200131,1540,285.60,285.60,285.60,285.60,305437,0.00,286.37,   -347600,-25114481275,
20200131,1539,284.90,284.90,284.90,284.90,314714,285.00,288.34,         0,           0,
20200131,1538,284.90,284.90,284.90,284.90,314714,285.00,288.34,         0,           0,
20200131,1537,284.90,284.90,284.90,284.90,314714,285.00,288.34,         0,           0,
20200131,1536,284.90,284.90,284.90,284.90,314714,285.00,288.34,         0,           0,
20200131,1535,285.00,285.10,284.90,284.90,314714,285.00,288.34,      1455,   103675987,
20200131,1534,284.85,285.00,284.80,284.95,314811,285.00,288.34,      1356,    96581038,
20200131,1533,285.05,285.05,284.85,284.85,314904,285.00,288.34,      1172,    83489762,
20200131,1532,284.85,285.10,284.85,285.00,314753,285.00,288.34,      1176,    83788738,
20200131,1531,285.30,285.35,284.80,284.85,314716,285.00,288.34,      2280,   162495112,
20200131,1530,285.30,285.30,285.05,285.25,314878,286.13,288.34,      1308,    93261200,
20200131,1529,285.25,285.35,285.20,285.25,314716,286.13,288.34,      1293,    92214113,
20200131,1528,285.25,285.25,285.05,285.25,314919,286.13,288.34,      1254,    89398300,
20200131,1527,285.10,285.30,285.10,285.25,315020,286.13,285.66,       707,    50413250,
20200131,1526,285.15,285.25,285.10,285.15,315254,286.13,285.66,       826,    58888500,
20200131,1525,285.25,285.25,285.10,285.15,315294,286.13,288.37,       972,    69303012,
20200131,1524,285.25,285.45,285.15,285.25,315438,286.13,288.37,      1168,    83310975,
20200131,1523,285.45,285.50,285.20,285.25,315594,286.13,286.24,      1242,    88599100,
20200131,1522,285.45,285.60,285.40,285.50,315712,286.13,285.66,      1192,    85078250,
20200131,1521,285.85,285.90,285.30,285.50,315872,286.13,286.24,      2465,   175957288,
20200131,1520,285.95,286.00,285.80,285.80,315784,286.13,286.24,       606,    43314262,
20200131,1519,285.70,285.95,285.65,285.95,315847,286.05,286.24,       828,    59159525,
20200131,1518,285.85,285.85,285.55,285.70,315930,285.88,286.24,      1177,    84063550,
20200131,1517,286.15,286.15,285.75,285.85,315874,285.97,286.24,       987,    70547613,
20200131,1516,286.00,286.20,285.90,286.10,315649,285.84,286.24,      1544,   110411475,
